trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
The Continental Group Inc.,Hollywood,FL,2,36,4/29/06
Custom Tile & Marble, Inc,Yelm,WA,15,42907.2,3/8/06
Kambiz Kazemi and his wife, Azzara Assar,Potomac,MD,1,0,1/15/06
Menoher Heights  Volunteer Fire Department,Johnstown,PA,18,4847.86,8/28/05
Kids Academy Learning Center,High Point,NC,25,4589.34,2/13/06
Almost Home Academy,Kenosha,WI,12,601.25,9/13/05
Freedom Xpress,Stratham,NH,0,0,12/22/05
Four Star Family Restaurant,Baraboo,WI,4,111.93,11/1/05
Smitty's Cinema,Biddeford,ME,0,0,4/4/06
Fairfield Inn,Manchester,NH,1,323.27,5/9/07
Grand Plaza Hotel,Tumon,GU,2,3500.64,6/28/05
Adecco,Louisville,KY,4,459.57,11/17/05
Lubritz & Nasri LLP,Las Vegas,NV,32,11449.53,10/1/05
Collier Ford,Rockport,IN,2,313.09,8/31/05
Hancock County Nursing Home,Carthage,IL,2,1466.73,10/3/05
D & G Garage Door, Inc.,Newnan,GA,5,2660.48,3/1/06
Clearwater Swimming Pool Company,Centre Hall,PA,11,9696.19,11/19/05
QUALITY FOODS, INC. OF CORNELIA,Cornelia,GA,9,6196.84,1/1/06
Polarized Meat Company,Dunmore,PA,0,0,4/2/07
QUALITY FOODS, INC. OF TOCCOA,Toccoa,GA,7,2335.84,1/1/06
Seba- Seba Bakery #3,Jackson Heights,NY,5,14579.1,8/22/05
Quality Inn,Emporia,VA,8,315.7,11/25/05
Endodontic Associates of Norwalk,Norwalk,CT,1,0,8/26/05
Premier South Medical Group PC,Atlanta,GA,0,0,2/26/06
Richard Kunkle,Alvordton,OH,2,0,5/1/07
Kindercare Learning Center,Draper,UT,0,0,9/29/05
Leach Farms,Berlin,WI,1,0,7/1/07
Richard Yeska,Wild Rose,WI,5,0,6/1/06
Austar Pharma,Edison,NJ,2,3000,11/1/05
El Paso MHMR,El Paso,TX,2,156.48,5/6/06
Oakwood Homes Inc.,Albuquerque,NM,1,0,10/6/05
National Settlement Services,Englewood,CO,23,1023.82,10/20/05
Laredo  Adult Day Care #1,Laredo,TX,0,0,9/30/05
Old Country Buffet,Warrington,PA,0,0,9/8/04
Fuller Enterprises,La Place,LA,8,5488.82,10/8/05
Silver Hangers,Mission,KS,3,6394.32,9/21/05
The Certo Group,Piscataway,NJ,2,234,8/20/07
Plumb-Air,Walnut Cove,NC,3,3069.53,10/15/05
Classic Touch Auto Wash Inc.,Winston Salem,NC,0,0,9/28/05
Microtel Inn & Suites,Jacksonville,NC,0,0,8/25/05
Wasabi Steakhouse,Salem,NH,1,0,3/12/12
Beggars Pizza (Plainfield),Plainfield,IL,3,0,11/6/11
Pine Needles Country Club,Fort Valley,GA,0,0,8/15/06
Capital City Auto Auction,Saint Albans,WV,59,41936.24,5/31/07
Johnston Shell,Johnston,SC,3,345,12/6/06
Holiday Inn Express,Vidalia,GA,2,41.66,10/6/05
Pennsylvania Counseling Services,Lebanon,PA,0,0,11/27/05
Advance Waterproofing Co., Inc.,Gretna,LA,8,3582.88,8/5/07
Carolina Protective Coating,Aiken,SC,0,0,1/10/06
Medical Technology Staffing, Inc.,Bethlehem,GA,1,648.89,4/16/06
Colby Daniels Farms,Mer Rouge,LA,10,163.5,10/27/05
Edgewood Mobile Homes,Hazard,KY,16,5171.84,2/8/06
WLOU & WLLV Radio,Louisville,KY,1,0,2/1/07
Bordertown Casino & RV Park,Reno,NV,26,1952.42,9/26/05
Advantage PRN,Henderson,NV,49,10370.42,1/1/06
Paradise Liqours - Esquire Lounge,Key West,FL,4,0,10/15/05
County of Los Angeles Dept. of Health Service,Los Angeles,CA,1,0,4/1/06
Flextronics,Whitehall,PA,2,0,3/15/06
Edmund Ogaz-AGER,Garfield,NM,1,0,8/21/07
Mini-Max Marble & Composites, LLC,Memphis,TN,2,598.01,9/23/05
ObGyn Associates,South Bend,IN,0,0,9/26/05
Cabarrus Emergency Vet Clinic,Kannapolis,NC,8,7361.89,1/19/06
Sparkling City Auto Auction,Robstown,TX,0,0,4/28/09
The Riverside Pub and Eatery,Sumner,WA,0,0,5/1/04
St John's EMS,Houston,TX,0,0,11/26/13
Roy Lehrman, DDS,Milledgeville,GA,2,234.85,3/1/06
Hahn Doors and Wood Products, Inc.,Hesperia,CA,0,0,11/15/05
Arjay Telecom-Roosevelt Field,Garden City,NY,5,2767.93,11/26/05
Unlimited Environmental,Signal Hill,CA,1,0,1/17/06
Denny's,San Antonio,TX,11,782.24,1/8/06
Lincoln Framing, Corp.,Pembroke Pines,FL,0,0,12/1/05
Victoria's Secret  Store #787,Elmhurst,NY,2,192.8,10/16/07
Wright Travel Agency, Inc.,Nashville,TN,11,0,8/1/03
Gluek Brewing Company,Cold Spring,MN,0,0,9/4/07
Ormond Beach Dermatology,Ormond Beach,FL,0,0,11/5/05
Alamo Railroad,Decatur,TX,2,6393.75,12/29/05
Landscape & Tree Service Co.,Hamilton,OH,1,0,4/8/06
General Electric Aircraft Engines,Cincinnati,OH,1,1092.96,10/28/07
Clopay,Mason,OH,0,0,10/11/06
Scenic Ridge Construction,Gordonville,PA,3,4694.24,1/8/06
Laconia Quick Trip,Laconia,NH,3,1240.01,10/26/05
LA: Citizens w/ Devel Disabilities (2),Baton Rouge,LA,13,8924.48,4/25/05
Advanced Dental Group,Huntingdon Valley,PA,4,2526.84,1/1/06
Farrell Matthews,Glasgow,KY,3,0,11/8/06
WingHouse of Orlando,Orlando,FL,26,1371.84,2/27/06
Ryan Landscaping, Inc.,Katy,TX,152,13449.56,9/20/99
Upstate Limousine,Middletown,NY,1,3010.16,10/19/05
LA, State of:  DHH, Office of Public Health,Baton Rouge,LA,3,1600.95,4/25/05
LA, State of:  Mental Health Area A,Mandeville,LA,8,4782.98,4/25/05
Cirrus Inc.,Sandy,UT,4,5165.93,11/27/05
Safelite Auto Glass,Salt Lake City,UT,1,0,12/4/05
Tony's Pizzeria and Restaurant,Endicott,NY,29,7039.07,10/7/07
Center for the Disabled,Albany,NY,0,0,7/17/06
House of Care Inc.,Durham,NC,3,5515.06,2/16/06
Perfomance Paving,Wauconda,IL,0,0,4/1/07
Action Tire - Marietta,Marietta,GA,6,1373.87,10/5/05
Action  Tire - Austell,Austell,GA,8,925.94,10/5/05
Handi-Foil Corporation,Wheeling,IL,0,0,1/1/06
Mc Donalds,West Chester,OH,2,0,7/1/06
Dunkin Donuts,Yonkers,NY,1,1634.08,10/1/00
Black Hills Ammunition,Rapid City,SD,0,0,2/14/12
Loan Shop (The),Kansas City,MO,100,24057.11,10/8/05
Barr Private Care,Kansas City,MO,12,1147.2,9/24/05
Casa De Los Ninos,Blue Springs,MO,9,428.29,10/2/05
Aziz,McAllen,TX,5,191.09,6/1/07
Compass Bank- Village Plains,Auburn,AL,7,2439.12,9/6/03
Final Touch Collections- Showroom,Los Angeles,CA,3,2096.07,11/19/12
Grandfather Clocks Plus,Platte City,MO,2,22,9/28/05
Airway Cleaners,Philadelphia,PA,5,0,8/1/05
Faircount Media Group,Tampa,FL,5,59692.85,9/25/02
J & A Excavation & Construction, Inc.,South Jordan,UT,12,7077.7,7/27/05
MJ Construction, Co.,Riverton,UT,0,0,9/6/05
Economy Inn,Louisville,KY,3,1217.64,10/31/05
Granulawn,Omaha,NE,0,0,10/28/06
Fidelity Building Services,Minneapolis,MN,5,119.88,8/14/05
Educator's Financial Services,Cambridge,MN,6,4163.54,10/15/05
Rheumatoid Arthritis and Lupus Center,McAllen,TX,8,1127.57,10/20/03
A & B Costanza,Sodus,MI,2,0,5/1/07
Misty Blue USA Corp,Portland,ME,4,488,7/24/06
Opus,North Dartmouth,MA,49,37610.65,10/14/06
Cherryfield Foods,Cherryfield,ME,1,0,8/1/06
S & G Pallete,Fontana,CA,15,25851.8,8/20/05
R. & J. Dondero Inc.,Linden,CA,0,0,7/18/06
Rings Steak, Seafood & Chops,San Rafael,CA,16,3502.88,7/3/05
C & D Security,Philadelphia,PA,141,313874.42,9/7/05
Volvo,Greensboro,NC,1,2475.2,5/9/07
William Farm (AGER),Islandton,SC,65,32886,1/1/07
Super Cuts,Orlando,FL,1,0,8/29/05
Art Craft Concrete,Lilburn,GA,2,2234.38,11/5/05
Longwoood Healing Center and Spa,Longwood,FL,8,2414.79,9/1/05
American Guard Services Inc.,Carson,CA,0,0,11/30/07
G M Construction & Excavating,Eldon,MO,7,4669.01,9/15/05
Planet Fitness,Nanuet,NY,46,24180.14,7/17/05
Dunkin Donuts,Yorktown Heights,NY,4,298.45,7/1/05
Pelple's Liberation,Los Angeles,CA,1,0,7/3/05
Hogar Awilda,Caguas,PR,1,0,7/8/03
Plastic,Los Angeles,CA,1,0,7/3/05
Siemens IT Solutions and Services, Inc.,Bellevue,WA,0,0,9/5/07
Tripp Plating Works, Inc.,Buffalo,NY,1,840,9/27/05
Maple Leaf Farms,Milford,IN,0,0,5/23/07
FM Executive Catering,Dallas,TX,2,183.83,5/1/06
Snoqualmie 76,Snoqualmie,WA,7,2043.15,11/15/05
Madge Dix-Harrison,Spokane,WA,0,0,2/5/06
Stay Alert Safety Service Inc,Kernersville,NC,26,11101.36,9/9/05
Edwards Design,Mooresville,NC,4,5509.7,9/10/05
L & L Cultured  Marble,Mount Airy,NC,6,2801.25,10/20/05
Alpine Cleaners (I),Charlotte,NC,1,1745.9,1/30/06
Conrad & Hinkle,Lexington,NC,7,5736.64,8/27/05
Quality Child Care, Inc.,Little Rock,AR,1,360.19,5/29/05
Dollar Tree,Toledo,OH,0,0,10/24/05
Quality Child Care, Inc.,Fort Smith,AR,2,394.55,5/29/05
Advanced Machine & Tool,Springfield,TN,3,0,9/4/05
Top Gun Retailer Services,Tukwila,WA,1,22.23,7/8/07
Old Chicago,Casper,WY,0,0,4/26/06
Webb Johnson Electric,Cheyenne,WY,0,0,7/3/06
Dewaynes Quality Metal Coatings,Lexington,TN,2,0,8/23/05
New River Produce LLC,Adel,GA,1,0,5/21/05
Blue Crest Farm,Long Valley,NJ,1,0,11/20/06
Accurate Air,Fairfield,NJ,4,305.53,11/28/05
Pro Lube 1,Wilmington,NC,25,4362.63,7/14/05
Adam's Clearing & Grading,West Columbia,SC,5,9180.5,9/8/05
Aspen Home Center, Inc.,Colorado Springs,CO,1,0,12/4/05
Pro Lube 4,Wilmington,NC,16,5960.09,7/14/05
D & R Contractors,Agawam,MA,9,21419.25,9/4/05
New View Lasereye, Inc.,Reston,VA,2,0,4/7/06
Trustmor Mortgage Co.,Richmond,VA,11,3255.74,7/13/02
Akamai Employment,Makawao,HI,0,0,9/14/05
Occupational Health Solutions Inc,Spokane,WA,2,147.82,4/15/06
City of Saint Maries, Idaho,Saint Maries,ID,4,0,1/1/06
Wellington Adult Family Home,Wenatchee,WA,1,49.5,9/1/06
Creative Smiles,Tucson,AZ,1,1509.6,1/19/07
Merry Maids/Service Master,Wichita Falls,TX,16,1114,9/18/05
Executive Inn Riverfront,Paducah,KY,43,2953.94,11/1/05
ADCOS 75 Medical Group,Miami,FL,0,0,7/31/07
Myers & Associates, C.P.A.'s, PLLC,High Point,NC,0,0,11/8/05
Wireless 1, LLC,Raleigh,NC,33,13198.43,10/18/05
Richards Plumbing and Heating Supply Co.,Grand Rapids,MI,9,16117.87,10/5/05
Mendocino County SELPA,Ukiah,CA,21,6549.38,12/1/05
Mata Farms, LLC,Bruce,MS,0,0,11/23/14
Greenco Industries, Inc,Monroe,WI,103,23926.57,2/1/05
National Gypsum,Wilmington,NC,0,0,8/1/07
Buffmasters,Wilmington,NC,0,0,4/21/07
Ashley's Family Care,Burlington,NC,3,1242,1/1/09
Jass Video Investments dba Highlife Lounge,Bridgeport,WV,24,16350.45,7/15/07
N.Y. Protection Controls, Inc.,Scotia,NY,10,5242.47,1/13/09
Centroplex Services Co.,Waco,TX,1,0,4/10/12
Consolidated Concepts, Inc.,Houston,TX,0,0,8/1/06
Super 8 Motel,Kingsville,TX,4,6809.4,1/28/06
Texas Country Cookin Bar and Grill,Baytown,TX,2,468,8/1/06
John Peters/Woodlands Camp,Gardners,PA,2,1971.9,7/1/06
Lakeview Square Apartments,Dublin,OH,6,613.88,9/21/05
La Quinta Inn of Valdosta,Valdosta,GA,0,0,7/25/05
Price's Collision Center,Nashville,TN,5,4787.35,9/10/05
Village Northwest Unlimited,Sheldon,IA,28,8119.77,8/1/05
Denton Publications,Elizabethtown,NY,1,1000,6/1/07
Upper Nyack Elementary School,Nyack,NY,4,835.13,9/29/06
Anderson's Cleaners,Lubbock,TX,6,2035.07,8/6/06
HSBC - Huntington Station,Huntington Station,NY,6,11488.63,9/9/04
De La Mota & Company, LTD,Del Rio,TX,13,7426.62,10/29/05
Riverside Neurology PC,Lafayette,IN,0,0,11/13/05
Jiffy Laundry and Dry Cleaning,Mountain Home,AR,12,1287.61,3/1/07
Gorgeous Gaiters LLC,Huntington,NY,1,0,7/11/07
Goldshire Developers, LLC,Sugar Land,TX,0,0,5/24/12
Mastrofrancesco AFC,Wyandotte,MI,0,0,4/9/12
American Health Network,Mulberry,IN,0,0,10/29/05
A &  A Dental Center PC,Merrillville,IN,10,0,10/29/05
dba Wilkes Supermarket and Deli,Cumming,GA,7,497.44,10/18/02
Haas Dental Clinic,Munster,IN,0,0,11/9/05
Braces for All Ages PC,Portage,IN,0,0,10/6/05
Faux Finish Inititute,Omaha,NE,4,1578.19,9/22/02
Jeffrey M. Brown Associates, Inc.,Brooklyn,NY,16,43730.82,5/3/05
Senior Psych Solutions,Atlanta,GA,8,754.76,1/25/06
Stonecrest Pediatrics PC,Conyers,GA,4,362.92,5/8/06
Valero Gas Station,Bordentown,NJ,2,889.93,11/5/05
Lupo's Italian Restaurant,Dyersburg,TN,64,0,7/8/07
Elmira Country Club,Elmira,NY,2,1474.06,11/11/05
P & K Contracting, Inc.,Jersey City,NJ,1,1237.04,3/1/07
Team Packing,Dateland,AZ,0,0,11/1/07
Peconic Electric Corp,Quogue,NY,33,23127.75,9/23/05
Shell Gas Station,Port Washington,NY,3,4036.49,10/28/05
Alaskan & Proud,Ketchikan,AK,19,0,1/1/06
The Kid Company,Pittsburgh,PA,8,0,10/29/05
Austin's Saloon & Eatery,Libertyville,IL,0,0,2/1/04
Melita Mushrooms,Oxford,PA,15,4430,11/5/05
Hernandez, Jesus FLC,Edinburg,TX,3,0,10/24/07
Starving Students Inc.,Ventura,CA,0,0,4/4/06
Horizon Dental Care,Miramar,FL,11,4694.5,11/8/05
Dr. Alona King,Idaho Falls,ID,1,164,2/2/06
Hotel Nikko-Guam,Tamuning,GU,281,48616.32,11/18/05
Fontana Restaurant,Dededo,GU,19,20245.73,11/16/05
Royal Orchid Guam Hotel,Tumon,GU,27,3088.34,11/30/05
Goodwill Industries of the Coastal Empire, In,Savannah,GA,1,20.61,10/1/05
Dover Shell,Dover,NH,6,1649.53,12/2/05
Linehan Landscaping,Salem,NH,0,0,3/28/06
Classic Landscapes,Manchester,NH,4,2349.47,5/27/06
Concrete Scientific,Brooklyn,NY,4,12922,8/10/07
Food City,Tempe,AZ,0,0,1/1/06
Van Berkum Nursery,Deerfield,NH,0,0,10/1/11
AJ's Fine Foods,Phoenix,AZ,1,0,1/1/06
Aidany Community Home, Inc.,Corozal,PR,26,3701.77,4/30/07
Bashas',Phoenix,AZ,6,0,1/1/06
The Baby and Kids House,Guaynabo,PR,11,2328.78,2/5/06
AJ's Fine Foods,Glendale,AZ,0,0,1/1/06
AJ's Fine Foods, Ltd.,Phoenix,AZ,0,0,1/1/06
Bashas',Phoenix,AZ,0,0,1/1/06
Terrace of Daytona,Daytona Beach,FL,0,0,2/20/06
Grand Buffet - Moreno Valley,Moreno Valley,CA,20,11631.98,11/1/05
Grand Buffet - Upland,Upland,CA,14,10089.58,11/14/05
Burger King,Tucson,AZ,1,0,5/9/07
Willy Charles,West Palm Beach,FL,14,686.4,6/15/07
STATEN  ISLAND PICKLE   WORKS. INC,Staten Island,NY,6,17559.25,11/9/05
IESI Corporation,Fort Worth,TX,0,0,10/1/11
NYC DEPT. OF  HEALTH  AND  MENTAL HYGIENE,New York,NY,0,0,9/7/05
Melora Farms,Hammonton,NJ,8,0,6/15/07
City of Bridgeport - Animal Shelter,Bridgeport,CT,3,726.04,10/1/05
Eagles' Wings, Inc.,Coker,AL,18,1316.59,10/2/11
Wireless Advocates,Seattle,WA,1060,100956.93,11/1/05
Arbor Village Retirement Center,Kent,WA,97,43116.74,11/1/05
Spokane Ditch & Cable, Inc.,Spokane,WA,1,111.38,9/5/05
Digital Color Concepts, Inc.,Mountainside,NJ,0,0,10/23/05
Sudbury Farms- Randolph,Randolph,MA,14,5676.41,1/1/05
Roche Bros- Burlington,Burlington,MA,61,25657.39,1/1/05
Roche Bros- North Easton,North Easton,MA,21,14536.88,1/1/05
Roche Bros- Marshfield,Marshfield,MA,13,2328.75,1/1/05
Roche Bros- Mashpee,Mashpee,MA,19,1465.99,1/1/05
Roche Bros- Millis,Millis,MA,28,19693.36,1/1/05
Roche Bros- Norton,Norton,MA,17,4778.25,1/1/05
Roche Bros- Westwood,Westwood,MA,59,46381.32,1/1/05
Hayduk Enterprises,Factoryville,PA,0,0,7/27/05
Orangeville Nursing & Rehab Center,Orangeville,PA,2,61.38,6/29/05
Easton Nursing Center,Easton,PA,8,363.39,6/29/05
Praxis Alzheimer's Facility,Easton,PA,7,642.83,6/29/05
HSBC - Cedarhurst,Cedarhurst,NY,4,785.63,9/9/04
Charles Porter Excavating,Max Meadows,VA,3,824.55,8/4/05
Penny Plate Manufacturing,Glasgow,MO,0,0,6/15/07
Rey's Pizza Corp,Miami,FL,0,0,6/1/05
Doublz,Montebello,CA,0,0,6/1/12
West Shoshone Hospital District # 1,Kellogg,ID,28,19233,2/12/05
Pridgeon & Clay, Inc.,Grand Rapids,MI,1,0,3/28/11
Gelson's Markets #4,Los Angeles,CA,2,0,4/29/06
Ricks Glass Co, Inc.,Savannah,GA,1,196.88,8/17/05
Bunn Pit Stop,Bunn,NC,2,383.75,5/17/05
Bolner's Grocery & Meat Market,San Antonio,TX,1,0,3/17/12
American Building Maintenance Co,Kennewick,WA,0,0,1/7/06
Nikki's World of Wonders Child Care Center,Jacksonville,FL,1,0,1/6/06
Best Western Manhattan Inn,Manhattan,KS,20,2175.95,12/3/05
Animal Medical Center,Kansas City,MO,24,1211.26,1/1/06
TruGreen LandCare,Lakewood,WA,0,0,11/27/05
Heritage Inn & Suites,Fort Scott,KS,6,278.77,12/17/06
Early Childhood Center,Indianapolis,IN,13,4219.92,9/7/05
Razzoo's Cajun Cafe,Bedford,TX,108,14246.16,9/25/05
Spyglass Investigations,Richardson,TX,0,0,10/9/05
Atkinson Homes, Inc.,Copperas Cove,TX,32,22225.47,9/16/05
Masala Restaurant,Warrenville,IL,8,25431.23,9/22/11
Lear Siegler/EG&G,Fort Wainwright,AK,0,0,3/8/06
The Boxelder Company,Tyler,TX,1,0,10/11/05
Subway,Fort Worth,TX,0,0,10/11/05
Quality Roofing and Construction,Rapid City,SD,1,1791.43,7/1/03
Ben Brook Antique Mall & Self Storage,Fort Worth,TX,14,13398.89,9/4/05
Johnston Products of Dallas, Inc,Cedar Hill,TX,17,7509.88,9/11/05
Woodhaven Financial Services,Dallas,TX,0,0,9/11/05
Old China King Buffet,Crowley,TX,0,0,4/1/07
Hooves, Paws & Claws Veterinary Clinic,Claremore,OK,0,0,3/2/06
Trinty Restoration (North),Tulsa,OK,0,0,2/2/06
La Michoacana Meat Market,Carrollton,TX,32,4749,8/22/05
Greg Surabian & Son's,Reedley,CA,4,0,8/12/07
Enid Senior Care,Enid,OK,1,1559.92,2/26/06
Farrell & Farrell Wood Waste Recycling LLC,Kenner,LA,17,18464.93,9/20/05
Nelson Brothers Debris Removal,Saint Rose,LA,10,3356.64,12/3/05
CB Hunter Construction Co., Inc.,Metairie,LA,2,3001.54,10/1/05
Bobby Joe Chestang Trucking,La Place,LA,5,2665.39,10/2/05
Brannon Walker,La Place,LA,10,3107.87,10/8/05
Subway,Saint Louis,MO,13,2704.5,10/7/05
Portugalia Construction Corporation,Mahopac,NY,9,15738.4,4/1/07
Pacific Plastic Surgery,Honolulu,HI,1,2166,9/14/05
Closet,Los Angeles,CA,1,0,10/1/06
LaserTec of Nebraska Inc,Shelton,NE,8,3322.55,9/17/05
Computer Cable Connection, Inc.,Bellevue,NE,34,11634.93,9/15/05
Precision Manufacturing & Assembly,Dayton,OH,24,1732.1,10/17/05
Airplane Plastics,Tipp City,OH,1,50.04,10/22/05
Appleton Paper, Inc.,Dayton,OH,0,0,1/1/06
PVS Plastics Technology Corp,Dayton,OH,0,0,10/30/05
MDBS,Malmstrom AFB,MT,1,16717.58,1/15/05
San Mateo County Transit District, SamTrans,San Carlos,CA,1,77.22,11/16/05
Hackey, Don - AGER,Hatch,NM,8,0,9/18/07
Eddie's Custom Cleaners,Tampa,FL,7,5045.64,12/1/05
Hill's Auto World,Bowling Green,FL,2,301.77,10/14/05
Crothall Laundry Services,Clermont,FL,0,0,4/30/06
Boz-Wellz,Storm Lake,IA,2,0,11/7/05
Villager Restaurant,Storm Lake,IA,0,0,11/8/05
G. J. Romig Property Maintenance Inc.,Hilton,NY,0,0,5/6/06
Sinai Hospital of Greater Detroit,Detroit,MI,18,3215.59,2/26/05
Savior Fare,Colorado Springs,CO,0,0,9/7/06
Chuys Mesquite Broiler,Simi Valley,CA,34,42289.31,11/15/05
Office Depot- Store # 587,Studio City,CA,0,0,2/5/06
Gusto's Restaurant,Milford,CT,9,2788.82,10/2/05
Seven For All Mankind, LLC,Los Angeles,CA,1,0,9/27/05
S & S Hauling & Excavation,Mc Calla,AL,11,1059.63,3/2/06
Bank of America, N.A.,Island Park,NY,2,371.52,12/31/05
Monarchy Collection, Inc.,Los Angeles,CA,1,0,9/27/05
Smokey Mountain Computer Services,Russellville,TN,7,3276,10/3/05
Precision Electrical Contractors, LLC,Salina,KS,5,1350.22,10/3/05
Cardullo Ironworks,Bay Shore,NY,3,1431.3,6/7/07
Metro Site & Metro Site Fabricators, LLC,Lula,GA,37,61664.12,11/7/05
Days Inn & Suites of Morris,Morris,IL,4,4620,12/1/05
Jiffy Lube Service Center #1460,Mission,KS,0,0,4/14/12
At-A-Moments-Notice,Jackson,MI,0,0,11/6/05
McDonald's Restaurant,Dickinson,ND,17,0,10/2/05
TURC Inc.,New Lenox,IL,14,14228.25,10/11/05
One Hour Martinizing,Lincoln Park,MI,16,3028.14,10/12/05
Stiloski's Automotive Corp.,Tarrytown,NY,2,365.62,11/4/05
Total Metal Products,Dallas,TX,1,1260,10/30/05
Shaw University,Raleigh,NC,51,35347.86,11/14/05
Monty Hale Auto Sales,Fort Worth,TX,11,9532.97,10/30/05
A1 Electric Inc.,Lake City,FL,9,4500.61,12/2/05
The Ormond Inn Express,Ormond Beach,FL,23,6731.09,7/18/05
Saint John's Riverside Hospital,Yonkers,NY,19,26792.35,8/6/05
King's Stereo,Pascagoula,MS,11,5003.27,11/16/06
Christie Fashion II,South El Monte,CA,17,0,3/8/05
Hi-Tech Protection,Flint,MI,6,2050.54,5/23/05
Atlas Structural Solutions,Norfolk,VA,10,2723.16,8/3/05
Tidewater Mental Health,Norfolk,VA,70,123890.25,6/26/05
Better Roads,Naples,FL,6,4974.7,1/19/03
Construction Industries Division,Santa Fe,NM,9,6521.4,4/16/02
IHOP #456,Augusta,GA,8,444.21,11/3/09
Bloomfield Fertilizer & Chemical Co.,Bloomfield,KY,6,4171.85,10/30/11
Perfecto Mundo Latin Fusion Bistro,Commack,NY,0,0,11/5/11
Superior Temps,Macon,GA,1,0,8/23/05
Guajardo and Guajardo,Austin,TX,2,907.69,1/1/06
Jerry L. Edwards,Greenville,MS,7,1008.27,8/6/05
Valero Gas Station,Millville,NJ,4,8785.21,10/12/05
Subway,Fort Wayne,IN,47,17738.38,9/22/05
Spic-N-Span Janitorial - Sub Contractor,White Hall,AR,23,69839,11/17/05
Bank of America,Charlotte,NC,2,1676.33,10/15/05
Subway/Rax,Greensburg,PA,13,0,5/24/05
Systems Plus,Oklahoma City,OK,3,509.75,1/12/03
Brick Oven Restaurant,Austin,TX,9,15866.43,5/16/05
Baymont Inn & Suites,Monroe,MI,3,1699.13,9/1/06
HSBC - Rockville Center,Rockville Centre,NY,3,96.51,9/9/04
The Painted Horse Cafe,Scottsdale,AZ,10,5678.2,11/8/05
T. Motae, Inc.,Los Angeles,CA,60,44250,12/10/05
Clean Harbors,San Diego,CA,0,0,7/7/05
Tech Color Graphics, Inc.,Chino,CA,28,25377.76,11/1/05
Quest Construction Services,Corona,CA,0,0,9/4/07
Jim Thorpe EMS,Jim Thorpe,PA,5,4330.16,5/12/05
Holiday Resort Guam,Tamuning,GU,7,364.88,6/7/05
Additional Kare for Kids, Inc,Plano,TX,1,3806.5,3/8/06
Mid Hudson Concrete Products,Peekskill,NY,1,405.6,7/23/05
M & M Line Clearance,Laurel,MS,29,194172.23,9/15/05
Envision Home Care Alternatives,Lawrenceburg,IN,2,172.5,7/17/05
Midwest Dental,Cedar Rapids,IA,1,0,7/12/05
Medical Staffing Network- Orange CT,Orange,CT,18,22661.34,7/10/04
DAVID S. MORA O.D.,PHD., P.C.,Laredo,TX,4,4722.76,5/7/05
ACCEL,Phoenix,AZ,14,768.43,9/1/07
Pfister Hybrid,El Paso,IL,7,0,6/20/07
Wyfells Hybrids,Atkinson,IL,0,0,7/24/07
Earl Dean Johnson,Ivanhoe,NC,4,0,5/15/07
Days Inn of Cleveland,Cleveland,MS,52,10199.65,4/7/06
Burger King,Detroit,MI,0,0,6/12/13
AEC Site Clean Up,Norcross,GA,2,0,7/12/05
Clark's Berry Farm,Lynden,WA,38,3652.33,7/17/06
Frank's Cleaners,Miami,FL,0,0,9/13/06
Queens Hill Service,Jamaica,NY,2,1041.25,1/20/07
T/A Travel Center,Napoleon,OH,18,1622.58,8/11/05
My Gofer,Monroeville,PA,0,0,9/26/09
LA Hospice/PalliativeCare & Acadian HomeCare,Crowley,LA,0,0,1/19/04
Thunder Electrical Contractors Inc (MV),Miami,FL,1,0,12/5/12
Toledo Iron Works (MV),Miami,FL,1,0,1/9/13
J. A. Morrin Reality, LLC,Maumee,OH,6,6153,8/6/05
City of Albuquerque,Albuquerque,NM,7,3774.1,11/25/05
Fernando Herrera,Portland,OH,1,0,5/1/07
Tye Brinager,Portland,OH,2,0,5/1/07
Carpigiani Corp. of America,Winston Salem,NC,6,3490.41,1/1/06
Flaim Farm,Vineland,NJ,3,0,7/11/07
Gillespie Farms Division of Pineland Farms,New Gloucester,ME,0,0,7/29/05
Nez Perce Soil & Water Conservation District,Lewiston,ID,8,1026.65,1/7/06
Golden Hill Mobile,Paso Robles,CA,25,2539.97,8/1/04
Premier Aquatics,Alexandria,VA,125,77812.53,8/22/05
Dairy Queen,Saint Simons Island,GA,2,1667.5,1/7/12
Arrowhead Building Contractors,Wasilla,AK,0,0,8/1/06
Parasun Motel, Inc. dba Holiday Inn Express,Harvey,IL,35,8801.72,8/6/05
Dish Network Service LLC,Bremerton,WA,1,0,10/2/05
Mr. K Garden and Material Center,Park Ridge,IL,6,13041.63,7/9/05
DT Child Development Center,Pensacola,FL,36,5754.53,7/11/05
Miles Memorial Hospital,Damariscotta,ME,5,596.02,8/25/05
Wallys Restaurant,Park Ridge,IL,10,67361.27,8/15/05
Kid's Playhouse,Harlingen,TX,7,2986.55,6/15/06
Ainaloa Investment Corporation,Honolulu,HI,1,123,11/1/06
Vital Dent,New York,NY,0,0,6/15/06
Southeastern Neon & Lighting Group, Inc.,Daytona Beach,FL,0,0,10/30/05
Demo's By Kim,Louisville,KY,4,0,9/5/05
Steel Fabrication,Greensboro,NC,1,2343.75,10/1/05
