trade_nm,cty_nm,st_cd,case_violtn_cnt,bw_atp_amt,findings_start_date
McDonald Construction,Branford,CT,26,9637.93,9/12/04
Valley Discount Wine & Liquor,Ansonia,CT,3,2984.21,10/30/04
Hughes-Johnson Chrysler Dodge-Jeep,Ozark,AL,16,9577.74,8/14/04
Thies Farm & Greenhouses,Saint Louis,MO,3,0,7/27/06
Linbar Property Management,Nashua,NH,2,2226.35,9/21/13
Adkins  Architectural Antiques, Inc.,Houston,TX,5,2722.63,3/27/05
International Bazaar at Centro Ybor,Tampa,FL,9,6257.75,9/21/04
Liberty Security Consultants, Inc.,Washington,DC,2,1246,4/20/05
Bioiberica Nebraska Inc,Geneva,NE,1,0,11/9/12
Mercy N Grace,Richmond,VA,24,14179.78,10/6/04
1st USA Realty Professionals,Mesa,AZ,2,1672.23,5/7/05
Nucomm International,Wichita,KS,171,7590.48,7/10/06
Basin,Orlando,FL,9,2494.64,10/30/04
Rossi, The,Columbus,OH,48,47504.21,3/1/05
Spageddies Italian Kitchen,Lafayette,IN,0,0,10/5/04
Sprint Express,Erie,PA,3,1202.05,11/16/05
Club 185,Columbus,OH,40,39671.3,10/20/04
Grandmother's Restaurant,Omaha,NE,0,0,10/26/04
Atlantic City Special Events,Egg Harbor Township,NJ,2,1111,11/28/04
Golf Venture, LLC,Summerfield,NC,8,96771.61,1/2/05
Distinguished Images,Idaho Falls,ID,1,188.33,5/15/06
Mariscos La Mexicana,Charlotte,NC,17,32283.28,10/1/01
Riveria Maia Apartments,Toledo,OH,35,4777.16,1/31/05
STEPS,Findlay,OH,1,0,3/1/05
Wylie Village Dentistry,Wylie,TX,0,0,10/1/05
CK Teengirls,Westminster,CA,5,1053,4/17/14
Sky Luxury,Los Angeles,CA,1,0,9/8/14
Be Wise Car Wash,Lagrangeville,NY,17,0,6/26/09
Professional Personnel,New Brunswick,NJ,3,0,2/13/14
Assisted Living of Scottsdale,Scottsdale,AZ,0,0,1/28/13
Lavitex, Inc.,Los Angeles,CA,1,0,12/6/11
Precision Tune Auto Care/ KC Auto Services LL,Independence,MO,0,0,1/7/12
Paynecrest Electric,Saint Louis,MO,15,22844.19,4/4/08
S K T Fashion Inc.,New York,NY,20,8961,3/24/08
The Hawthorn Grill,Dayton,OH,18,1957.79,3/27/12
US POSTAL SERVICE,New York,NY,0,0,6/12/04
Noel Quality Cleaners,Noel,MO,3,447.58,9/11/04
Wal-Mart,Warsaw,MO,0,0,7/17/04
Arena Farms,Concord,MA,0,0,8/13/04
Red Harvesting,Lake Placid,FL,4,0,6/19/06
Flowerwood Nursery-DIP 2,Mobile,AL,0,0,6/18/04
Evans Construction Co.,Charlotte,NC,0,0,7/15/04
Crystal Beach,Miami Beach,FL,0,0,8/10/04
Chicken Box,New Orleans,LA,0,0,8/28/04
Maxwell's Chophouse,Boca Raton,FL,68,3977.56,6/29/03
Puma Oil (Vinton Oil),Pomona,CA,4,26572.5,4/26/04
B & W Maintenance Inc,Lawndale,CA,4,4000,4/1/04
Harold's Plumbing,Winter Haven,FL,47,20409.07,3/13/04
General Home Development,Saint Petersburg,FL,7,0,4/1/04
Crosby, Kenneth -New York, Inc.,Rochester,NY,10,12961.27,10/17/04
Hill Top Inn,Springdale,AR,13,16949.45,3/20/04
Shirley Contracting,Lorton,VA,1,0,3/13/11
New York Deli,Atlantic Beach,NC,0,0,7/9/04
Rosewood Properties,Greenville,NC,31,9548.27,10/1/04
Sav a Lot, LLC,Greensboro,NC,0,0,1/1/05
Croop-LaFrance, Inc.,Rome,NY,4,2361.92,1/1/06
Express Pros,Atlanta,GA,1,203,3/24/15
Ross Minit Mart #3,Silva,MO,2,2737.1,11/29/04
Gulf Coast Drywall & Paint, LLC,Houston,TX,138,34556.77,11/14/05
Rock 'N' Rodeo & Charros Restaurant,Eugene,OR,6,430.58,12/1/05
Anna Schwass,Buffalo,NY,3,1098.67,7/24/12
M.J. Arnold Inc,Pensacola,FL,3,2058.85,4/9/06
Sunshine Adult Day Care Center,Bergenfield,NJ,0,0,2/20/05
Physicians Account Manager, Inc.,Jacksonville,FL,13,3959.65,12/19/04
Cole, Scott & Kissane PA,Jacksonville,FL,2,4083.17,6/6/05
Life Care Center of Orange Park,Orange Park,FL,2,161.58,1/1/05
B & J Restaurant-Gore,Gore,OK,5,1067.24,4/10/11
Sears,Ocoee,FL,0,0,2/1/05
T & A Painting-Mitchel Manor,East Meadow,NY,3,3995.04,9/26/05
Bosworth Development Services,Braintree,MA,10,11403.68,5/13/06
Tops Bar-B-Que,Olive Branch,MS,5,566.25,11/22/04
Engel's Market,Fairfield,NE,0,0,11/14/04
Frankie's, Inc.,Raynham,MA,0,0,3/4/05
Inspiration's Home Care,Corona,CA,0,0,3/29/10
C-Tec Security & Consultant, Inc.,Baton Rouge,LA,241,21784.33,9/28/05
Jack & Jill Store,Hastings,NE,0,0,11/16/04
Stockman-Okla.Livestock Marketing. Inc.,Apache,OK,1,3361,3/12/05
Pretium Packaging LLC,Saint Louis,MO,461,25017.37,10/1/04
Mexia State School #6067,Mexia,TX,2,77.92,9/1/06
Nygard,New York,NY,2,889.66,3/9/05
Allstate Interior Demolition,Brooklyn,NY,3,1620,12/1/04
Altoona Discount Store,Altoona,FL,7,1147.91,1/6/05
Monro Muffler and Brake,Huber Heights,OH,1,0,1/23/05
Hooper Care Ctr,Hooper,NE,0,0,3/16/05
Rinker Materials Milford Quarry,Milford,UT,0,0,1/20/05
Shannon Plumbing,Coeur d Alene,ID,3,916.95,3/20/05
SN-5 Enterprises,Tinian,MP,4,7816.46,3/18/05
Saipan International School,Saipan,MP,3,1931.56,3/26/05
Excel Time Services Co.,Los Angeles,CA,0,0,2/7/07
Ultrazone,Sherman Oaks,CA,3,0,3/23/05
Martella's Pharmacy,Johnstown,PA,2,175.1,3/18/05
Eli's Pest Control,Augusta,GA,3,0,1/4/06
D & C Cleaning Agency,Copiague,NY,2,2001,10/18/05
Best Western - Suffolk,Suffolk,VA,1,0,4/30/05
Subway (Fairview),Fairview,PA,9,0,4/5/05
The U of T Health Science Center at Houston,Houston,TX,1,2124,4/4/05
Si-Nor Inc. ----- Marines,Rialto,CA,12,10882.81,8/1/01
Chevron - Trescot No. 2,Greenville,SC,0,0,4/20/05
CK's Steakhouse,West Des Moines,IA,2,0,4/9/05
Meridian Nursing,Red Bank,NJ,7,445,3/30/05
Palm Beach Medical Transport,West Palm Beach,FL,2,412,3/13/05
Pita Pit,Helena,MT,0,0,2/9/07
Plaza Vilarino,San Juan,PR,1,0,5/6/06
Shady Grove Nursing & Rehabilitatrion Center,Rockville,MD,2,334.73,1/7/07
Idaho Pizza Company,Kuna,ID,2,233.61,4/1/09
Brian K Nadolne, MD, PC,Marietta,GA,8,588.39,11/1/05
Ann's Family Care II,Raleigh,NC,3,126.5,7/19/05
Funshine Learning Center,Lamoni,IA,2,0,8/21/05
Uncle Sam's Child Care Center,Des Moines,IA,0,0,7/25/05
Chicano's Tex-Mex Restaurant,Lakeland,FL,19,45462.02,9/21/00
Spataro's Italian Restaurant,Shrewsbury,PA,12,0,7/24/00
Pearl River Lanes,Pearl River,NY,1,0,1/5/06
All the Little Things Count,Alvin,TX,47,0,10/17/11
T.A. Beck Roofing,Littleton,CO,88,14576,10/22/01
Knights Inn /  currently  Executive Inn,Vienna,GA,3,4041.72,2/19/02
Consolidated Electric-Medina Base,San Antonio,TX,7,6633.96,9/1/03
Weaver,Rowlett,TX,49,65076.56,1/14/02
AVP,Shawnee,KS,1155,221317.04,6/14/03
Precision Carpet Cleaning,Northglenn,CO,100,24674.71,7/6/02
Correction Corporation of America,Panama City,FL,0,0,10/12/06
Rogers & Culliver,Knoxville,TN,4,3250.8,3/18/03
Taco Cabana,El Paso,TX,43,865.2,8/27/02
LCS - Pine Prairie Corrections Center,Pine Prairie,LA,185,90386.15,8/1/03
A-1 Hospitality Staffing,San Antonio,TX,16,1449.46,8/16/04
Victory Lake Nursing Center,Hyde Park,NY,131,41044,9/1/03
Sodexho Management, Inc.,Gaithersburg,MD,89,9777.48,5/3/03
Andres Reyes Burgos, Inc.,Catano,PR,166,164583.23,1/13/01
Gran Airport Services,Carolina,PR,69,21673.29,9/22/06
Merwine Farms & Nursery,Effort,PA,3,0,10/17/05
Lexis Nexis Publishing Company,Charlottesville,VA,190,292378.77,1/1/05
J. Aguinaldo-Group, Inc.,Lexington Park,MD,13,41487.55,7/24/06
Herrera Harvesting,Morristown,TN,7,0,6/27/14
Del Monte Fresh Produce N.A., Inc.,Coral Gables,FL,2,0,3/11/04
Linda Lous Restaurant,Ripley,WV,1,0,5/15/09
Premier Residential Mortgage,Saint Charles,MO,12,0,6/21/04
The Art Institute of Chicago,Chicago,IL,0,0,11/24/03
Kash Inc.,Simpsonville,SC,18,6116.33,9/7/05
One Solution Services,Fairfield,CT,1,28.75,10/16/05
Atlantic Underground Utilities,Richmond Hill,GA,5,352.76,2/3/06
Cigarette Outlet, Inc,Davenport,IA,10,12366.46,11/26/05
Zenith Logistic,Indianapolis,IN,0,0,11/19/05
Kelly Sheet Metal Inc.,Brooklyn,NY,3,5627.16,2/6/12
8 China Buffet,Indianapolis,IN,17,26527.14,3/21/06
SASI,Holland,NY,0,0,1/1/06
McDonalds,Daly City,CA,0,0,4/9/06
Metro Waterproofing Inc.,Scottdale,GA,2,0,7/1/07
X-Treme Coatings, Inc,Palmetto,FL,2,0,2/24/09
Healthcare Services Group,Elkhart,IN,30,3825.93,1/3/10
